Geneid	SRR1573504	SRR1573505	SRR1573506	SRR1573507	SRR1573508	SRR1573509	SRR1573510	SRR1573511	SRR1573512	SRR1573513	SRR1573514	SRR1573515	SRR1573516	SRR1573517	SRR1573518	SRR1573519	SRR1573520	SRR1573521	SRR1573522	SRR1573523	SRR1573524	SRR1573525	SRR1573526	SRR1573527
gene-LOC103644366	732	271	409	802	263	908	201	296	202	432	253	543	243	216	657	460	77	99	501	58	355	10	138	72
gene-LOC100382519	25042	6970	8535	20928	8882	18781	5104	7596	5014	8149	4509	6620	3256	3075	13001	9813	2188	4983	3653	1324	6195	2959	6608	3796
gene-LOC103630116	54	18	0	1	2	11	1	0	0	13	11	36	3	4	16	1	1	14	0	0	0	0	0	0
gene-LOC103649349	45	19	4	12	6	27	4	0	2	30	5	17	3	2	39	6	0	0	0	0	0	0	0	0
gene-LOC109943579	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC109942621	1372	544	338	1283	575	1559	269	318	276	830	599	957	435	466	1333	618	87	182	146	81	778	225	503	100
gene-LOC103630159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC115032971	274	145	165	310	178	1329	133	88	131	455	362	678	302	351	1064	139	43	72	81	6	175	1	29	11
gene-LOC103630195	2621	1035	1019	4179	1644	3171	1052	1037	801	0	2	4	0	2	3	1362	229	959	279	291	1497	441	1551	522
gene-LOC103630223	2414	1528	1654	3670	1716	6271	1097	1171	961	2219	1618	2540	1088	1181	4276	1339	186	561	577	250	1862	381	972	496
gene-LOC103630233	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630261	0	3	0	1	6	13	8	0	1	10	2	1	7	0	13	1	0	0	0	0	2	0	0	0
gene-LOC109943573	6	4	22	13	2	25	6	109	16	38	10	14	2	6	26	11	142	0	41	6	1	0	10	0
gene-LOC103630281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC118473254	11	1	4	10	2	18	0	1	5	8	10	11	13	6	18	3	0	1	0	0	3	3	3	0
gene-LOC118473255	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-TRNAF-GAA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630305	14	13	20	4	6	52	15	33	0	24	10	32	13	10	93	0	26	0	0	0	2	32	0	4
gene-LOC109943581	0	0	0	0	2	0	0	0	0	5	0	0	0	0	2	2	0	0	12	0	100	0	0	0
gene-LOC100279648	0	0	0	0	0	2	2	2	0	1	0	2	0	0	3	1	0	1	0	2	182	0	2	0
gene-LOC100276289	2655	768	606	1797	584	2597	496	1087	447	1555	1130	1885	614	797	3329	1176	285	245	241	131	623	151	221	451
gene-LOC100280608	44	22	17	37	19	37	5	4	9	21	20	32	7	12	36	37	13	15	10	7	33	15	20	12
gene-LOC100278565	1933	961	895	1259	479	2439	651	597	519	1304	787	1206	426	504	2148	1289	378	377	457	189	1272	254	272	429
gene-LOC103630338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100383860	628	246	191	503	267	856	153	168	82	616	363	479	294	308	874	428	312	80	105	86	420	33	377	461
gene-LOC103630355	6	9	4	0	0	0	0	2	0	0	2	2	4	0	4	0	0	0	0	0	0	0	0	0
gene-LOC100216975	3315	1365	1539	3295	1623	6519	1249	1170	930	4107	2455	4357	3534	3516	5486	3491	1351	784	1963	346	2329	1384	1476	1264
gene-LOC100193420	1619	347	509	1494	357	1892	320	1030	317	1728	720	1113	570	552	2427	402	191	196	217	57	324	207	254	157
gene-LOC100283177	127	67	59	93	100	192	88	56	26	36	11	19	14	8	55	100	8	43	1	34	165	11	8	41
gene-LOC118473256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630366	2208	524	672	1634	733	2759	476	1047	295	1088	670	1057	414	476	1993	642	197	235	166	98	824	217	1304	345
gene-LOC103630457	1384	794	694	1638	694	1892	767	946	452	1601	944	1429	947	859	2403	1245	440	519	412	48	642	259	770	643
gene-LOC100279889	4308	2149	1716	1793	1003	5997	1105	940	743	4360	2429	4576	2968	3111	6400	5381	1960	1247	1040	461	3414	328	1788	1475
gene-LOC100383837	5909	2574	3898	4178	2218	6990	1902	1966	1308	4300	2201	3489	2577	2362	6888	5845	2420	2214	1915	606	4499	900	2108	2199
gene-LOC103630473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630483	0	0	2	0	8	10	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC103630490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC541908	193	84	129	347	107	270	40	88	65	92	23	76	31	26	65	4	0	0	0	0	0	0	0	0
gene-LOC103630501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100381635	0	0	0	0	4	0	0	2	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
gene-LOC100283317	40083	14587	13311	18624	12365	38991	8775	6586	5208	35668	19179	29045	23272	17095	44579	28905	12005	9307	19839	4292	24706	3759	6967	6466
gene-LOC111590740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC111590742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC118473257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630526	231	45	113	184	41	314	46	71	71	73	98	154	56	70	194	26	9	0	0	0	38	50	0	0
gene-LOC107546763	0	0	0	4	4	17	0	2	0	0	0	1	0	0	2	18	0	0	1	0	5	1	1	0
gene-LOC100285831	61	90	48	121	220	179	14	46	1	100	50	129	171	119	54	0	0	0	0	0	0	0	0	0
gene-LOC103630535	94	50	46	14	227	241	81	30	56	8	16	14	5	2	66	0	0	0	0	0	0	0	0	0
gene-LOC100191673	15713	5202	7304	14253	6914	14519	4027	5004	3189	11155	4821	8581	4026	4057	13436	5659	1088	2784	2049	1083	4717	1079	3509	1752
gene-LOC100273658	146254	84190	65104	96168	76816	168921	63762	40848	27018	126499	54993	95841	96213	57357	135070	149754	33499	44103	51985	13748	76141	26567	52822	38004
gene-LOC103630546	604	242	162	563	315	667	107	114	114	333	302	448	204	169	804	237	35	111	252	35	232	50	97	92
gene-LOC100275685	745	188	167	545	195	948	183	157	150	615	460	831	368	392	991	197	0	75	262	22	34	327	38	120
gene-LOC103630556	2538	958	713	1575	697	2555	551	1051	391	1908	1017	1600	595	724	3122	1620	342	484	452	157	1074	513	606	594
gene-LOC103630570	55	66	26	60	96	176	106	30	47	256	190	184	116	104	313	70	0	70	112	24	119	161	180	210
gene-LOC100281615	952	539	491	900	709	1721	464	328	283	684	641	902	349	358	1662	825	407	353	491	125	754	93	781	332
gene-LOC103630585	1158	298	299	504	283	802	334	379	283	684	468	681	452	491	1250	714	164	177	437	90	446	118	275	127
gene-LOC100502546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC103630626	2187	1289	919	1387	746	3258	721	641	558	3191	1526	2366	1319	1091	2534	1799	609	802	284	154	533	258	821	217
gene-LOC103630632	157	52	75	493	92	331	105	48	44	70	43	48	17	11	62	1	1	8	0	6	99	55	18	174
gene-LOC109943576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC100216768	1962	603	671	1994	666	1973	421	552	335	1219	734	906	504	504	1468	800	65	388	231	78	394	155	226	139
